MBC,키즈사이언스마법은없어,30102,드라마,목,15,0,15,50
MBC,키즈어드벤처,30080,시사교양,수,14,55,15,50
KBS2,테마여행길을걷다,20103,시사교양,토,7,0,7,30
SBS,토요특집출발모닝와이드,40050,시사교양,토,6,0,6,30
MBC,통일전망대,30058,시사교양,월,13,5,13,45
SBS,"특별생방송지상파디지털방송,새로운미래를열다",40000,시사교양,수,17,0,18,30
KBS2,특선영화,10056,드라마,일,0,10,6,0
KBS1,특파원현장보고,10103,시사교양,토,22,30,23,10
SBS,풋볼매거진골,40083,스포츠,금,13,30,14,0
KBS1,풍경이있는여행,10092,시사교양,토,10,30,11,0
SBS,프로야구중계석,40084,스포츠,화,15,10,16,0
KBS1,학자의고향,10093,시사교양,일,6,40,7,10
KBS1,한국인의밥상,10104,시사교양,목,19,30,20,25
KBS1,한국한국인,10094,시사교양,일,6,10,6,40
KBS1,한국현대사증언TV자서전,10095,시사교양,일,7,10,8,0
MBC,한나라당대표위원경선토론,30000,시사교양,수,13,5,14,55
KBS1,한나라당대표최고위원경선토론,10000,시사교양,월,14,10,16,0
SBS,한나라당대표최고위원경선토론(수화방송),40000,시사교양,목,14,10,16,0
SBS,한밤의TV연예,40055,오락,수,20,50,21,55
KBS2,해피선데이,20080,오락,일,17,20,19,55
MBC,해피타임,30103,드라마,일,8,10,9,25
KBS2,해피투게더,20081,오락,목,23,5,0,35
KBS2,해피하우스,20111,시사교양,토,8,10,9,0
KBS1,행복한교실,10096,시사교양,수,11,0,11,55
KBS1,현장르포동행,10038,시사교양,목,23,40,0,25
KBS2,호루라기,20105,시사교양,목,20,50,21,50
KBS1,환경스페셜,10097,시사교양,수,22,0,22,50
MBC,황금어장,30061,오락,수,23,5,0,20
KBS2,휴먼서바이벌도전자,20112,오락,금,23,5,0,15
KBS2,희망릴레이,20087,시사교양,"월,화,수,목,금",17,30,18,0
